ID,start_date,receiver_country,incident_type,initiator_country,initiator_category,initiator_name,receiver_region
334,2012-01-17,Saudi Arabia,Disruption,Israel,Non-state-group,IDF-Team,"['ASIA', 'MENA', 'MEA', 'GULFC']"
335,2012-01-20,United States,Disruption,Unknown,Non-state-group,Anonymous,"['NATO', 'NORTHAM']"
336,2012-01-25,Israel,Disruption,Palestine,Non-state-group,Anonymous,"['ASIA', 'MENA', 'MEA']"
337,2012-02-01,Myanmar,Data theft,China,"Non-state actor, state-affiliation suggested",Mofang,"['ASIA', 'SEA', 'NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO']"
337,2012-02-01,Myanmar,Hijacking with Misuse,China,"Non-state actor, state-affiliation suggested",Mofang,"['ASIA', 'SEA', 'NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO']"
337,2012-02-01,United States,Data theft,China,"Non-state actor, state-affiliation suggested",Mofang,"['ASIA', 'SEA', 'NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO']"
337,2012-02-01,United States,Hijacking with Misuse,China,"Non-state actor, state-affiliation suggested",Mofang,"['ASIA', 'SEA', 'NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO']"
337,2012-02-01,Germany,Data theft,China,"Non-state actor, state-affiliation suggested",Mofang,"['ASIA', 'SEA', 'NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO']"
337,2012-02-01,Germany,Hijacking with Misuse,China,"Non-state actor, state-affiliation suggested",Mofang,"['ASIA', 'SEA', 'NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO']"
337,2012-02-01,Canada,Data theft,China,"Non-state actor, state-affiliation suggested",Mofang,"['ASIA', 'SEA', 'NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO']"
337,2012-02-01,Canada,Hijacking with Misuse,China,"Non-state actor, state-affiliation suggested",Mofang,"['ASIA', 'SEA', 'NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO']"
337,2012-02-01,India,Data theft,China,"Non-state actor, state-affiliation suggested",Mofang,"['ASIA', 'SEA', 'NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO']"
337,2012-02-01,India,Hijacking with Misuse,China,"Non-state actor, state-affiliation suggested",Mofang,"['ASIA', 'SEA', 'NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO']"
337,2012-02-01,Singapore,Data theft,China,"Non-state actor, state-affiliation suggested",Mofang,"['ASIA', 'SEA', 'NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO']"
337,2012-02-01,Singapore,Hijacking with Misuse,China,"Non-state actor, state-affiliation suggested",Mofang,"['ASIA', 'SEA', 'NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'SASIA', 'SCO']"
338,2012-02-03,United States,Data theft & Doxing,Unknown,Non-state-group,Anonymous,"['NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU']"
338,2012-02-03,United Kingdom,Data theft & Doxing,Unknown,Non-state-group,Anonymous,"['NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU']"
339,2012-02-09,Bangladesh,Hijacking without Misuse,India,Non-state-group,Silent Hacker,"['ASIA', 'SASIA']"
340,2012-02-11,United States,Disruption,Unknown,Non-state-group,Anonymous,"['NATO', 'NORTHAM']"
341,2012-02-11,Bangladesh,Hijacking without Misuse,India,Non-state-group,Indishell,"['ASIA', 'SASIA']"
342,2012-02-12,India,Hijacking without Misuse,Bangladesh,Non-state-group,Black Hat Hackers,"['ASIA', 'SASIA', 'SCO']"
343,2012-02-15,India,Hijacking without Misuse,Bangladesh,Non-state-group,Bangladesh Cyber Army,"['ASIA', 'SASIA', 'SCO']"
344,2012-02-28,United Nations,Data theft & Doxing,Unknown,Non-state-group,rOOtw0rm,['NO_REGION']
344,2012-02-28,United Nations,Disruption,Unknown,Non-state-group,rOOtw0rm,['NO_REGION']
345,2012-02-29,Interpol,Disruption,Unknown,Non-state-group,Anonymous,['NO_REGION']
346,2012-03-01,India,Disruption,Pakistan,Non-state-group,Pak Cyber Pirates,"['ASIA', 'SASIA', 'SCO']"
347,2012-03-01,Holy See (Vatican City State),Disruption,Unknown,Non-state-group,Anonymous,['EUROPE']
348,2012-03-01,United States,Data theft & Doxing,Unknown,Non-state-group,YeiZeta,"['NATO', 'NORTHAM', 'NO_REGION']"
348,2012-03-01,Mexico,Data theft & Doxing,Unknown,Non-state-group,YeiZeta,"['NATO', 'NORTHAM', 'NO_REGION']"
349,2012-03-01,India,Disruption,Unknown,Non-state-group,Muslim Liberation Army,"['ASIA', 'SASIA', 'SCO']"
350,2012-03-02,United Kingdom,Disruption,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested",,"['EUROPE', 'NATO', 'EU(MS)', 'NORTHEU']"
351,2012-03-21,Israel,Disruption,Palestine,Non-state-group,GaZaHaCkeRTeam,"['ASIA', 'MENA', 'MEA']"
352,2012-03-25,Israel,Disruption,Unknown,Non-state-group,PirateCr3w,"['ASIA', 'MENA', 'MEA']"
353,2012-04-01,Croatia,Disruption,Unknown,Non-state-group,Team P0ison,"['EUROPE', 'BALKANS', 'NATO', 'EU(MS)']"
354,2012-04-01,United States,Disruption,Syria,Non-state-group,Al Qaeda Sec,"['NATO', 'NORTHAM']"
355,2012-04-01,China,Data theft & Doxing,Unknown,Non-state-group,Anonymous,"['ASIA', 'SCS', 'EASIA', 'NEA', 'SCO']"
355,2012-04-01,China,Disruption,Unknown,Non-state-group,Anonymous,"['ASIA', 'SCS', 'EASIA', 'NEA', 'SCO']"
356,2012-04-01,United States,Data theft,Unknown,Non-state-group,Team Ghostshell,"['NATO', 'NORTHAM']"
357,2012-04-01,United States,Disruption,Unknown,Non-state-group,Anonymous,"['NATO', 'NORTHAM']"
358,2012-04-20,United States,Data theft & Doxing,Unknown,Non-state-group,The Unknowns,"['NATO', 'NORTHAM']"
359,2012-04-21,"Iran, Islamic Republic of",Disruption,Unknown,"Non-state actor, state-affiliation suggested",NSA/Equation Group,"['ASIA', 'MENA', 'MEA']"
359,2012-04-21,"Iran, Islamic Republic of",Hijacking with Misuse,Unknown,"Non-state actor, state-affiliation suggested",NSA/Equation Group,"['ASIA', 'MENA', 'MEA']"
360,2012-04-24,United States,Disruption,Unknown,Non-state-group,UGNazi,"['NATO', 'NORTHAM']"
361,2012-04-26,Afghanistan,Disruption,Unknown,Unknown - not attributed,,"['ASIA', 'SASIA']"
362,2012-05-01,Myanmar,Data theft,China,"Non-state actor, state-affiliation suggested",Mofang,"['ASIA', 'SEA', 'NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'SCS', 'NEA']"
362,2012-05-01,Myanmar,Hijacking with Misuse,China,"Non-state actor, state-affiliation suggested",Mofang,"['ASIA', 'SEA', 'NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'SCS', 'NEA']"
362,2012-05-01,Canada,Data theft,China,"Non-state actor, state-affiliation suggested",Mofang,"['ASIA', 'SEA', 'NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'SCS', 'NEA']"
362,2012-05-01,Canada,Hijacking with Misuse,China,"Non-state actor, state-affiliation suggested",Mofang,"['ASIA', 'SEA', 'NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'SCS', 'NEA']"
362,2012-05-01,Germany,Data theft,China,"Non-state actor, state-affiliation suggested",Mofang,"['ASIA', 'SEA', 'NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'SCS', 'NEA']"
362,2012-05-01,Germany,Hijacking with Misuse,China,"Non-state actor, state-affiliation suggested",Mofang,"['ASIA', 'SEA', 'NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'SCS', 'NEA']"
362,2012-05-01,United States,Data theft,China,"Non-state actor, state-affiliation suggested",Mofang,"['ASIA', 'SEA', 'NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'SCS', 'NEA']"
362,2012-05-01,United States,Hijacking with Misuse,China,"Non-state actor, state-affiliation suggested",Mofang,"['ASIA', 'SEA', 'NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'SCS', 'NEA']"
362,2012-05-01,"Korea, Republic of",Data theft,China,"Non-state actor, state-affiliation suggested",Mofang,"['ASIA', 'SEA', 'NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'SCS', 'NEA']"
362,2012-05-01,"Korea, Republic of",Hijacking with Misuse,China,"Non-state actor, state-affiliation suggested",Mofang,"['ASIA', 'SEA', 'NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'SCS', 'NEA']"
362,2012-05-01,Singapore,Data theft,China,"Non-state actor, state-affiliation suggested",Mofang,"['ASIA', 'SEA', 'NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'SCS', 'NEA']"
