ID,incident_type,weighted_cyber_intensity,start_date,year,month,receiver_country,initiator_country,receiver_region
2513,Hijacking with Misuse,5.0,2022-06-01,2022.0,6.0,Not available,Not available,"['OC', 'NO_REGION', 'EUROPE', 'NATO', 'NORTHEU', 'EU(MS)', 'NORTHAM']"
2513,Hijacking with Misuse,5.0,2022-06-01,2022.0,6.0,United Kingdom,Not available,"['OC', 'NO_REGION', 'EUROPE', 'NATO', 'NORTHEU', 'EU(MS)', 'NORTHAM']"
2513,Hijacking with Misuse,5.0,2022-06-01,2022.0,6.0,Italy,Not available,"['OC', 'NO_REGION', 'EUROPE', 'NATO', 'NORTHEU', 'EU(MS)', 'NORTHAM']"
2513,Hijacking with Misuse,5.0,2022-06-01,2022.0,6.0,United States,Not available,"['OC', 'NO_REGION', 'EUROPE', 'NATO', 'NORTHEU', 'EU(MS)', 'NORTHAM']"
2513,Ransomware,5.0,2022-06-01,2022.0,6.0,Australia,Not available,"['OC', 'NO_REGION', 'EUROPE', 'NATO', 'NORTHEU', 'EU(MS)', 'NORTHAM']"
2513,Ransomware,5.0,2022-06-01,2022.0,6.0,Not available,Not available,"['OC', 'NO_REGION', 'EUROPE', 'NATO', 'NORTHEU', 'EU(MS)', 'NORTHAM']"
2513,Ransomware,5.0,2022-06-01,2022.0,6.0,United Kingdom,Not available,"['OC', 'NO_REGION', 'EUROPE', 'NATO', 'NORTHEU', 'EU(MS)', 'NORTHAM']"
2513,Ransomware,5.0,2022-06-01,2022.0,6.0,Italy,Not available,"['OC', 'NO_REGION', 'EUROPE', 'NATO', 'NORTHEU', 'EU(MS)', 'NORTHAM']"
2513,Ransomware,5.0,2022-06-01,2022.0,6.0,United States,Not available,"['OC', 'NO_REGION', 'EUROPE', 'NATO', 'NORTHEU', 'EU(MS)', 'NORTHAM']"
2514,Hijacking with Misuse,2.0,2023-04-01,2023.0,4.0,Ukraine,Not available,"['EUROPE', 'EASTEU', 'SOUTHAM', 'NO_REGION', 'CSTO', 'SCO', 'NATO', 'EU(MS)', 'ASIA', 'WESTEU']"
2514,Hijacking with Misuse,2.0,2023-04-01,2023.0,4.0,Argentina,Not available,"['EUROPE', 'EASTEU', 'SOUTHAM', 'NO_REGION', 'CSTO', 'SCO', 'NATO', 'EU(MS)', 'ASIA', 'WESTEU']"
2514,Hijacking with Misuse,2.0,2023-04-01,2023.0,4.0,Ecuador,Not available,"['EUROPE', 'EASTEU', 'SOUTHAM', 'NO_REGION', 'CSTO', 'SCO', 'NATO', 'EU(MS)', 'ASIA', 'WESTEU']"
2514,Hijacking with Misuse,2.0,2023-04-01,2023.0,4.0,Russia,Not available,"['EUROPE', 'EASTEU', 'SOUTHAM', 'NO_REGION', 'CSTO', 'SCO', 'NATO', 'EU(MS)', 'ASIA', 'WESTEU']"
2514,Hijacking with Misuse,2.0,2023-04-01,2023.0,4.0,Chile,Not available,"['EUROPE', 'EASTEU', 'SOUTHAM', 'NO_REGION', 'CSTO', 'SCO', 'NATO', 'EU(MS)', 'ASIA', 'WESTEU']"
2514,Hijacking with Misuse,2.0,2023-04-01,2023.0,4.0,Mexico,Not available,"['EUROPE', 'EASTEU', 'SOUTHAM', 'NO_REGION', 'CSTO', 'SCO', 'NATO', 'EU(MS)', 'ASIA', 'WESTEU']"
2514,Hijacking with Misuse,2.0,2023-04-01,2023.0,4.0,Brazil,Not available,"['EUROPE', 'EASTEU', 'SOUTHAM', 'NO_REGION', 'CSTO', 'SCO', 'NATO', 'EU(MS)', 'ASIA', 'WESTEU']"
2514,Hijacking with Misuse,2.0,2023-04-01,2023.0,4.0,Italy,Not available,"['EUROPE', 'EASTEU', 'SOUTHAM', 'NO_REGION', 'CSTO', 'SCO', 'NATO', 'EU(MS)', 'ASIA', 'WESTEU']"
2514,Hijacking with Misuse,2.0,2023-04-01,2023.0,4.0,Peru,Not available,"['EUROPE', 'EASTEU', 'SOUTHAM', 'NO_REGION', 'CSTO', 'SCO', 'NATO', 'EU(MS)', 'ASIA', 'WESTEU']"
2514,Hijacking with Misuse,2.0,2023-04-01,2023.0,4.0,Poland,Not available,"['EUROPE', 'EASTEU', 'SOUTHAM', 'NO_REGION', 'CSTO', 'SCO', 'NATO', 'EU(MS)', 'ASIA', 'WESTEU']"
2514,Hijacking with Misuse,2.0,2023-04-01,2023.0,4.0,Kazakhstan,Not available,"['EUROPE', 'EASTEU', 'SOUTHAM', 'NO_REGION', 'CSTO', 'SCO', 'NATO', 'EU(MS)', 'ASIA', 'WESTEU']"
2514,Hijacking with Misuse,2.0,2023-04-01,2023.0,4.0,France,Not available,"['EUROPE', 'EASTEU', 'SOUTHAM', 'NO_REGION', 'CSTO', 'SCO', 'NATO', 'EU(MS)', 'ASIA', 'WESTEU']"
2515,Hijacking without Misuse,1.0,2022-12-01,2022.0,12.0,Not available,Not available,['NO_REGION']
2516,Data theft,4.0,2023-08-08,2023.0,8.0,Switzerland,Not available,"['EUROPE', 'WESTEU']"
2516,Hijacking with Misuse,4.0,2023-08-08,2023.0,8.0,Switzerland,Not available,"['EUROPE', 'WESTEU']"
2516,Ransomware,4.0,2023-08-08,2023.0,8.0,Switzerland,Not available,"['EUROPE', 'WESTEU']"
2518,Data theft & Doxing,4.0,2023-04-04,2023.0,4.0,United States,Not available,"['NATO', 'NORTHAM']"
2518,Hijacking with Misuse,4.0,2023-04-04,2023.0,4.0,United States,Not available,"['NATO', 'NORTHAM']"
2518,Ransomware,4.0,2023-04-04,2023.0,4.0,United States,Not available,"['NATO', 'NORTHAM']"
2519,Hijacking without Misuse,1.0,2022-10-01,2022.0,10.0,Germany,"Iran, Islamic Republic of","['EUROPE', 'NATO', 'EU(MS)', 'WESTEU']"
2520,Disruption,4.0,2023-05-23,2023.0,5.0,United States,Not available,"['NATO', 'NORTHAM']"
2520,Hijacking with Misuse,4.0,2023-05-23,2023.0,5.0,United States,Not available,"['NATO', 'NORTHAM']"
2520,Ransomware,4.0,2023-05-23,2023.0,5.0,United States,Not available,"['NATO', 'NORTHAM']"
2521,Disruption,4.0,2023-08-17,2023.0,8.0,France,Not available,"['EUROPE', 'NATO', 'EU(MS)', 'WESTEU']"
2521,Hijacking with Misuse,4.0,2023-08-17,2023.0,8.0,France,Not available,"['EUROPE', 'NATO', 'EU(MS)', 'WESTEU']"
2521,Ransomware,4.0,2023-08-17,2023.0,8.0,France,Not available,"['EUROPE', 'NATO', 'EU(MS)', 'WESTEU']"
2522,Disruption,1.0,2023-07-25,2023.0,7.0,Spain,Russia,"['EUROPE', 'NATO', 'EU(MS)']"
2523,Disruption,1.0,2023-07-23,2023.0,7.0,Spain,Russia,"['EUROPE', 'NATO', 'EU(MS)']"
2527,Disruption,4.0,2023-08-19,2023.0,8.0,United States,Not available,"['NATO', 'NORTHAM']"
2527,Hijacking with Misuse,4.0,2023-08-19,2023.0,8.0,United States,Not available,"['NATO', 'NORTHAM']"
2527,Ransomware,4.0,2023-08-19,2023.0,8.0,United States,Not available,"['NATO', 'NORTHAM']"
2528,Disruption,4.0,2023-08-21,2023.0,8.0,Belgium,Not available,"['EUROPE', 'EU(MS)', 'NATO', 'WESTEU']"
2528,Hijacking with Misuse,4.0,2023-08-21,2023.0,8.0,Belgium,Not available,"['EUROPE', 'EU(MS)', 'NATO', 'WESTEU']"
2528,Ransomware,4.0,2023-08-21,2023.0,8.0,Belgium,Not available,"['EUROPE', 'EU(MS)', 'NATO', 'WESTEU']"
2529,Hijacking with Misuse,2.0,2023-01-01,2023.0,1.0,Not available,Not available,['NO_REGION']
2532,Hijacking with Misuse,2.0,2023-08-19,2023.0,8.0,United States,Not available,"['NATO', 'NORTHAM']"
2534,Disruption,4.0,2023-08-18,2023.0,8.0,Denmark,Not available,"['EUROPE', 'NATO', 'EU(MS)', 'NORTHEU']"
